Date,Open,Adj Close,Volume,returns,range,ma_12,ma_21,hmm_predictions,ma_signal,hmm_signal,combined_signal,lrets_bench,lrets_bench_prod,lrets_bench_prod_exp,lrets_strat,lrets_strat_prod,lrets_strat_prod_exp
2023-08-17,28699.802734375,26664.55078125,31120851211,-0.07097917151940503,0.1313243857453017,29085.060546875,29158.328590029763,3,0.0,0,1.0,-0.07362412009606191,0.08726307547120389,0.09118370562941247,-0.07462363207063483,-0.3568573248479845,-0.30012765499520555
2023-08-18,26636.078125,26049.556640625,24026236529,-0.02306411031148714,0.044383377028763604,28835.702311197918,29002.629092261905,3,0.0,0,0.0,-0.023334248653811243,0.06392882681739265,0.06601652427267823,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-19,26047.83203125,26096.205078125,10631443812,0.0017907574452629138,0.017325553960147788,28578.671223958332,28847.35704985119,1,0.0,1,0.0,0.0017891559507894222,0.06571798276818207,0.06792550130029285,0.0,-0.3568573248479845,-0.30012765499520555
2023-08-20,26096.861328125,26189.583984375,9036580420,0.00357825614760654,0.009858640494527338,28280.678873697918,28700.417782738095,1,0.0,1,0.0,0.003571869420107809,0.06928985218828988,0.0717468122905065,0.0,-0.3568573248479845,-0.30012765499520555
2023-08-21,26188.69140625,26124.140625,13371557893,-0.002498831574187843,0.014474657937911806,27994.232747395832,28552.51441592262,1,0.0,1,0.0,-0.002501958864606914,0.06678789332368297,0.06906869751641986,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-22,26130.748046875,26031.65625,14503820706,-0.0035401882238949023,0.02408941016313859,27711.071451822918,28378.986979166668,1,0.0,1,0.0,-0.0035464695192522202,0.06324142380443075,0.06528399310293742,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-23,26040.474609375,26431.640625,16985265785,0.015365306423789304,0.038050783373103414,27463.898600260418,28249.44800967262,1,0.0,1,0.0,0.015248455549160829,0.07848987935359159,0.08165240808532204,0.0,-0.3568573248479845,-0.30012765499520555
2023-08-24,26431.51953125,26162.373046875,12871532023,-0.01018731988472621,0.024695589730881817,27192.765950520832,28105.814360119046,1,0.0,1,0.0,-0.01023956576112509,0.0682503135924665,0.07063326900007239,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-25,26163.6796875,26047.66796875,12406045118,-0.004384352975912553,0.01788864039031579,26923.162109375,27961.69893973214,1,0.0,1,0.0,-0.004393992436939317,0.06385632115552718,0.06593923484102104,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-26,26047.234375,26008.462890625,6034817316,-0.0015051281432193475,0.004753172527497185,26639.830403645832,27817.238746279763,0,0.0,1,0.0,-0.0015062619864454853,0.0623500591690817,0.06433485969969999,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-27,26008.2421875,26089.693359375,6913768611,0.0031232321991347956,0.007713253894764183,26383.109212239582,27676.659598214286,0,0.0,1,0.0,0.003118365040993392,0.0654684242100751,0.06765902460417572,0.0,-0.3568573248479845,-0.30012765499520555
2023-08-28,26089.615234375,26106.150390625,11002805166,0.0006307866874213364,0.012286365865720406,26166.806803385418,27530.258277529763,0,0.0,1,0.0,0.0006305878251208892,0.06609901203519598,0.06833248970360128,0.0,-0.3568573248479845,-0.30012765499520555
2023-08-29,26102.486328125,27727.392578125,29368391712,0.062101924766441385,0.08400185840850716,26255.376953125,27433.205915178572,2,0.0,0,0.0,0.060249892570851026,0.126348904606047,0.13467799360471933,0.0,-0.3568573248479845,-0.30012765499520555
2023-08-30,27726.083984375,27297.265625,16343655235,-0.015512708305083889,0.025525429104825026,26359.352701822918,27325.38550967262,1,0.0,1,0.0,-0.015634289371322937,0.11071461523472406,0.11707606486973154,-0.0,-0.3568573248479845,-0.30012765499520555
2023-08-31,27301.9296875,25931.47265625,20181001451,-0.0500340578984273,0.06613416252701843,26345.625,27158.808407738095,3,0.0,0,0.0,-0.05132914544958933,0.05938546978513473,0.061184216363092014,-0.0,-0.3568573248479845,-0.30012765499520555
2023-09-01,25934.021484375,25800.724609375,17202862221,-0.005042060225742162,0.03009389745115687,26313.220052083332,26987.52315848214,1,0.0,1,0.0,-0.005054814300673318,0.054330655484461414,0.05583366163358239,-0.0,-0.3568573248479845,-0.30012765499520555
2023-09-02,25800.91015625,25868.798828125,10100387473,0.0026384615075991658,0.008433604457716903,26291.941569010418,26818.610491071428,0,0.0,1,0.0,0.0026349868784771645,0.05696564236293858,0.058619438108230115,0.0,-0.3568573248479845,-0.30012765499520555
2023-09-03,25869.47265625,25969.56640625,8962524523,0.0038953327054152,0.010462751696130868,26286.767415364582,26660.83203125,0,0.0,1,0.0,0.0038877655416867615,0.06085340790462534,0.06274311302808133,0.0,-0.3568573248479845,-0.30012765499520555
2023-09-04,25968.169921875,25812.416015625,10680635106,-0.006051329012069284,0.016545175971767634,26235.165364583332,26489.592633928572,1,0.0,1,0.0,-0.006069712504034206,0.05478369540059113,0.0563121047958377,-0.0,-0.3568573248479845,-0.30012765499520555
2023-09-05,25814.95703125,25779.982421875,11094740040,-0.0012565113521479931,0.010487957860717323,26203.299479166668,26328.146670386905,1,0.0,1,0.0,-0.0012573014244295709,0.05352639397616156,0.05498483664475029,-0.0,-0.3568573248479845,-0.30012765499520555
2023-09-06,25783.931640625,25753.236328125,12752705327,-0.0010374752516241204,0.021596933105108018,26178.763509114582,26187.73986235119,1,0.0,1,0.0,-0.001038013801593385,0.052488380174568174,0.05389031598589278,-0.0,-0.3568573248479845,-0.30012765499520555
2023-09-07,25748.3125,26240.1953125,11088307100,0.018908652030005024,0.03128300801462913,26198.074544270832,26167.53245907738,1,1.0,1,0.0,0.01873210550195057,0.07122048567651874,0.07381796124866202,0.0,-0.3568573248479845,-0.30012765499520555
2023-09-08,26245.208984375,25905.654296875,10817356400,-0.012749181613965876,0.028683709506521327,26182.737955729168,26160.67996651786,1,1.0,1,1.0,-0.012831149860508746,0.058389335816009996,0.060127661040364266,-0.013031021109655571,-0.3698883459576401,-0.3091885417767096
2023-09-09,25905.42578125,25895.677734375,5481314132,-0.0003851113886439439,0.004319267243300562,26165.198567708332,26151.131045386905,1,1.0,1,1.0,-0.00038518556307899995,0.05800415025293099,0.059719393804681165,-0.00039439066889723404,-0.3702827366265373,-0.30946093765107385
2023-09-10,25895.2109375,25832.2265625,7899553047,-0.0024502611024840304,0.013177289074936649,26007.26806640625,26134.11402529762,1,0.0,1,1.0,-0.0024532679048573473,0.05555088234807365,0.05712280459449359,-0.0024550512014146755,-0.37273778782795197,-0.311154167072791
2023-09-11,25831.71484375,25162.654296875,14600006467,-0.02592003689674205,0.03825266884732992,25829.3837890625,26088.328962053572,3,0.0,0,0.0,-0.026261881067480307,0.029289001280593342,0.029722142495016923,-0.0,-0.37273778782795197,-0.311154167072791
2023-09-12,25160.658203125,25833.34375,18657279324,0.026654161568650414,0.05247512149389788,25821.206380208332,26078.88550967262,1,0.0,1,0.0,0.0263051279529175,0.05559412923351084,0.05716852285189589,0.0,-0.37273778782795197,-0.311154167072791
2023-09-13,25837.5546875,26228.32421875,13072077070,0.01528956036711282,0.023078522735149765,25856.839680989582,26069.203776041668,1,0.0,1,0.0,0.015173852958685846,0.07076798219219668,0.0733321648002514,0.0,-0.37273778782795197,-0.311154167072791
2023-09-14,26228.27734375,26539.673828125,13811359124,0.011870739692642074,0.02304694038701971,25912.745930989582,26087.170479910714,1,0.0,1,0.0,0.011800835130971608,0.08256881732316829,0.08607341153233516,0.0,-0.37273778782795197,-0.311154167072791
2023-09-15,26533.818359375,26608.693359375,11479735788,0.0026006171627044328,0.02285750182784252,25966.006510416668,26113.88597470238,1,0.0,1,0.0,0.0025972414093191217,0.0851660587324874,0.08889787268632321,0.0,-0.37273778782795197,-0.311154167072791
2023-09-16,26606.19921875,26568.28125,7402031417,-0.001518755875352329,0.01060965727435459,26028.995279947918,26140.543991815477,1,0.0,1,0.0,-0.0015199103541191222,0.08364614837836828,0.08724410264452209,-0.0,-0.37273778782795197,-0.311154167072791
2023-09-17,26567.927734375,26534.1875,6774210670,-0.0012832501161511578,0.0065389806318787436,26091.845703125,26161.710379464286,1,0.0,1,0.0,-0.0012840741866492755,0.08236207419171901,0.0858488965235189,-0.0,-0.37273778782795197,-0.311154167072791
2023-09-18,26532.994140625,26754.28125,15615339655,0.008294723552398242,0.03782696367487626,26175.26611328125,26192.573753720237,1,0.0,1,0.0,0.008260511389751386,0.09062258558147039,0.09485571293985817,0.0,-0.37273778782795197,-0.311154167072791
